"estimator","minimum_distance","scenario","dimension","mc","p_shape"
"DCov",0.186869319220079,4,2,3,2
"DCov",0.110800779228806,4,2,4,2
"fastICA",0.920996153725965,4,2,1,2
"fastICA",0.249488294454388,4,2,2,2
"fastICA",0.148386737094202,4,2,3,2
"fastICA",0.04569135378161,4,2,4,2
"KernelICA",0.0152748251809709,4,2,1,2
"KernelICA",0.0680980405579953,4,2,2,2
"KernelICA",0.098235967666474,4,2,3,2
"KernelICA",0.097713264878963,4,2,4,2
"CvM",0.884036085883697,4,2,1,2
"CvM",0.73904226258124,4,2,2,2
"CvM",0.273239149358264,4,2,3,2
"CvM",0.150419982822703,4,2,4,2
"DCov",0.0244521147782069,4,2,1,2.21
"DCov",0.125911915921592,4,2,2,2.21
"DCov",0.147463328066138,4,2,3,2.21
"DCov",0.108975745935446,4,2,4,2.21
"fastICA",0.0199200857628819,4,2,1,2.21
"fastICA",0.942010829417745,4,2,2,2.21
"fastICA",0.322064484538507,4,2,3,2.21
"fastICA",0.0660987007349912,4,2,4,2.21
"KernelICA",0.0202612711455743,4,2,1,2.21
"KernelICA",0.0418264070639582,4,2,2,2.21
"KernelICA",0.0777155175098519,4,2,3,2.21
"KernelICA",0.058403349946639,4,2,4,2.21
"CvM",0.693029712124104,4,2,1,2.21
"CvM",0.302016593705737,4,2,2,2.21
"CvM",0.869822217237035,4,2,3,2.21
"CvM",0.0895973118412796,4,2,4,2.21
"DCov",0.240262308354452,4,2,1,2.43
"DCov",0.0956706634700499,4,2,2,2.43
"DCov",0.047898550822768,4,2,3,2.43
"DCov",0.0730611100775081,4,2,4,2.43
"fastICA",0.156441996389394,4,2,1,2.43
"fastICA",0.0953583176262087,4,2,2,2.43
"fastICA",0.884124042036041,4,2,3,2.43
"fastICA",0.828261977092321,4,2,4,2.43
"KernelICA",0.138896168500632,4,2,1,2.43
"KernelICA",0.0947989289580307,4,2,2,2.43
"KernelICA",0.0320573089982709,4,2,3,2.43
"KernelICA",0.0314855368941379,4,2,4,2.43
"CvM",0.245029645475702,4,2,1,2.43
"CvM",0.789174451272594,4,2,2,2.43
"CvM",0.67550097215979,4,2,3,2.43
"CvM",0.0743055277981848,4,2,4,2.43
"DCov",0.368640723445238,4,2,1,2.64
"DCov",0.138178782352087,4,2,2,2.64
"DCov",0.0315824619625548,4,2,3,2.64
"DCov",0.226394965106448,4,2,4,2.64
"fastICA",0.0945806998603129,4,2,1,2.64
"fastICA",0.376994220791822,4,2,2,2.64
"fastICA",0.0490109906814053,4,2,3,2.64
"fastICA",0.352942539634267,4,2,4,2.64
"KernelICA",0.0372158330256554,4,2,1,2.64
"KernelICA",0.304313879923705,4,2,2,2.64
"KernelICA",0.0591825522451633,4,2,3,2.64
"KernelICA",0.032457780432644,4,2,4,2.64
"CvM",0.577683028421426,4,2,1,2.64
"CvM",0.446522657847952,4,2,2,2.64
"CvM",0.794868034412795,4,2,3,2.64
"CvM",0.399029417734987,4,2,4,2.64
"DCov",0.110114279101745,4,2,1,2.86
"DCov",0.0300221264480278,4,2,2,2.86
"DCov",0.255406398882354,4,2,3,2.86
"DCov",0.228047933941637,4,2,4,2.86
"fastICA",0.140464639226536,4,2,1,2.86
"fastICA",0.251945169838307,4,2,2,2.86
"fastICA",0.216737313765062,4,2,3,2.86
"fastICA",0.220582374179101,4,2,4,2.86
"KernelICA",0.0720266379352957,4,2,1,2.86
"KernelICA",0.0362158654750316,4,2,2,2.86
"KernelICA",0.116417304269429,4,2,3,2.86
"KernelICA",0.133780986955068,4,2,4,2.86
"CvM",0.264672780242538,4,2,1,2.86
"CvM",0.317481261228545,4,2,2,2.86
"CvM",0.514956211834495,4,2,3,2.86
"CvM",0.272376678117437,4,2,4,2.86
"DCov",0.0437892010969907,4,2,1,3.07
"DCov",0.0362578897347346,4,2,2,3.07
"DCov",0.0389213532996885,4,2,3,3.07
"DCov",0.260706348054804,4,2,4,3.07
"fastICA",0.26766579515463,4,2,1,3.07
"fastICA",0.0535116425802733,4,2,2,3.07
"fastICA",0.0869583240375747,4,2,3,3.07
"fastICA",0.090535655507308,4,2,4,3.07
"KernelICA",0.0615425556323401,4,2,1,3.07
"KernelICA",0.529888881219631,4,2,2,3.07
"KernelICA",0.093364190896519,4,2,3,3.07
"KernelICA",0.224419349442376,4,2,4,3.07
"CvM",0.771964332643057,4,2,1,3.07
"CvM",0.182419148948269,4,2,2,3.07
"CvM",0.909147207911315,4,2,3,3.07
"CvM",0.965377443242335,4,2,4,3.07
"DCov",0.0778966990224846,4,2,1,3.29
"DCov",0.158237845179605,4,2,2,3.29
"DCov",0.139580938048232,4,2,3,3.29
"DCov",0.0784078734759516,4,2,4,3.29
"fastICA",0.124814003047103,4,2,1,3.29
"fastICA",0.755275707676587,4,2,2,3.29
"fastICA",0.105058797596973,4,2,3,3.29
"fastICA",0.143667062373703,4,2,4,3.29
"KernelICA",0.204587838137736,4,2,1,3.29
"KernelICA",0.0846965080091958,4,2,2,3.29
"KernelICA",0.0965953650072964,4,2,3,3.29
"KernelICA",0.118402279531602,4,2,4,3.29
"CvM",0.172742504579325,4,2,1,3.29
"CvM",0.984021004123008,4,2,2,3.29
"CvM",0.134691572221868,4,2,3,3.29
"CvM",0.158035472118007,4,2,4,3.29
"DCov",0.0301820826586491,4,2,1,3.5
"DCov",0.0300068823233792,4,2,2,3.5
"DCov",0.044881991422311,4,2,3,3.5
"DCov",0.0831472273414417,4,2,4,3.5
"fastICA",0.224956047419232,4,2,1,3.5
"fastICA",0.026178576601477,4,2,2,3.5
"fastICA",0.0618428521626421,4,2,3,3.5
"fastICA",0.111223072308423,4,2,4,3.5
"KernelICA",0.0521513760785195,4,2,1,3.5
"KernelICA",0.545720086211523,4,2,2,3.5
"KernelICA",0.04525762183485,4,2,3,3.5
"KernelICA",0.0577319570203756,4,2,4,3.5
"CvM",0.202157580357407,4,2,1,3.5
"CvM",0.186326979599376,4,2,2,3.5
"CvM",0.668817143334551,4,2,3,3.5
"CvM",0.76305578997667,4,2,4,3.5
"DCov",0.0688767922003233,4,2,1,4
"DCov",0.0610608706419244,4,2,2,4
"DCov",0.0201935495760597,4,2,3,4
"DCov",0.111916879565817,4,2,4,4
"fastICA",0.0969185242436151,4,2,1,4
"fastICA",0.352820999990509,4,2,2,4
"fastICA",0.089199132174098,4,2,3,4
"fastICA",0.177989726580272,4,2,4,4
"KernelICA",0.0157961683375374,4,2,1,4
"KernelICA",0.0635735496246849,4,2,2,4
"KernelICA",0.030088338064711,4,2,3,4
"KernelICA",0.00523947970801346,4,2,4,4
"CvM",0.121887253484434,4,2,1,4
"CvM",0.522189274404472,4,2,2,4
"CvM",0.165872273983274,4,2,3,4
"CvM",0.924636281882383,4,2,4,4
"DCov",0.025584278337021,4,2,1,28
"DCov",0.0935298368876574,4,2,2,28
"DCov",0.0221884402164043,4,2,3,28
"DCov",0.0988239732909364,4,2,4,28
"fastICA",0.0712555237053983,4,2,1,28
"fastICA",0.0946545014129536,4,2,2,28
"fastICA",0.0180088182399034,4,2,3,28
"fastICA",0.0817131285485515,4,2,4,28
"KernelICA",0.377260875131936,4,2,1,28
"KernelICA",0.195959153972578,4,2,2,28
"KernelICA",0.275505629121148,4,2,3,28
"KernelICA",0.175774395027901,4,2,4,28
"CvM",0.0236905307516071,4,2,1,28
"CvM",0.0846678320900361,4,2,2,28
"CvM",0.0415982625586999,4,2,3,28
"CvM",0.0976969701882042,4,2,4,28
"DCov",0.0891150774446482,4,2,1,52
"DCov",0.0814949630125449,4,2,2,52
"DCov",0.0766828978714774,4,2,3,52
"DCov",0.0500979269593245,4,2,4,52
"fastICA",0.0949674730568023,4,2,1,52
"fastICA",0.0734766151416979,4,2,2,52
"fastICA",0.0790642137576066,4,2,3,52
"fastICA",0.0504622954664446,4,2,4,52
"KernelICA",0.139446200666328,4,2,1,52
"KernelICA",0.0453380919358066,4,2,2,52
"KernelICA",0.101100361476102,4,2,3,52
"KernelICA",0.107152672462888,4,2,4,52
"CvM",0.0844305961036935,4,2,1,52
"CvM",0.0623659842533049,4,2,2,52
"CvM",0.109663690200072,4,2,3,52
"CvM",0.0551656751957775,4,2,4,52
"DCov",0.0279534896537883,4,2,1,76
"DCov",0.0320108575892987,4,2,2,76
"DCov",0.0824312603862798,4,2,3,76
"DCov",0.119751655355832,4,2,4,76
"fastICA",0.049293649786757,4,2,1,76
"fastICA",0.0315749860100208,4,2,2,76
"fastICA",0.0736695696580857,4,2,3,76
"fastICA",0.141312998624224,4,2,4,76
"KernelICA",0.0581267786926672,4,2,1,76
"KernelICA",0.179877330073717,4,2,2,76
"KernelICA",0.138269658690563,4,2,3,76
"KernelICA",0.227158359463949,4,2,4,76
"CvM",0.0391626516202473,4,2,1,76
"CvM",0.0358722270067599,4,2,2,76
"CvM",0.0780137013336072,4,2,3,76
"CvM",0.128361967177301,4,2,4,76
"DCov",0.0645673944199347,4,2,1,100
"DCov",0.0370094782027,4,2,2,100
"DCov",0.124786202129668,4,2,3,100
"DCov",0.0182528318830752,4,2,4,100
"fastICA",0.0372461649467331,4,2,1,100
"fastICA",0.02660266633529,4,2,2,100
"fastICA",0.0619751273732996,4,2,3,100
"fastICA",0.0838046519139629,4,2,4,100
"KernelICA",0.0236541061327038,4,2,1,100
"KernelICA",0.0817322519739576,4,2,2,100
"KernelICA",0.186985983199758,4,2,3,100
"KernelICA",0.323277421152862,4,2,4,100
"CvM",0.056715569867752,4,2,1,100
"CvM",0.0387696131379395,4,2,2,100
"CvM",0.115049094426787,4,2,3,100
"CvM",0.0597016790968612,4,2,4,100
